action,module_idx,num_modules,cold_start_time,exec_time,input_shape,input_bytes,file_size
cold_start,0,15,0.388653039932251,0.0005240440368652344,[1],72,156022754
cold_start,1,15,0.07054877281188965,0.0010766983032226562,[1],72,28377484
cold_start,2,15,0.06653904914855957,0.0010833740234375,[1],72,28383444
cold_start,3,15,0.07261133193969727,0.0010883808135986328,[1],72,28383444
cold_start,4,15,0.03988051414489746,0.0010747909545898438,[1],72,28383480
cold_start,5,15,0.03569364547729492,0.0010814666748046875,[1],72,28383480
cold_start,6,15,0.03567171096801758,0.0010943412780761719,[1],72,28383480
cold_start,7,15,0.04320669174194336,0.0012845993041992188,[1],72,28383480
cold_start,8,15,0.036096811294555664,0.0010960102081298828,[1],72,28383480
cold_start,9,15,0.03587937355041504,0.0011060237884521484,[1],72,28383480
cold_start,10,15,0.03735184669494629,0.001088857650756836,[1],72,28383536
cold_start,11,15,0.04042649269104004,0.001092672348022461,[1],72,28383536
cold_start,12,15,0.03622174263000488,0.0010957717895507812,[1],72,28383536
cold_start,13,15,0.002627134323120117,0.00014543533325195312,[1],72,2364960
cold_start,14,15,0.0007302761077880859,5.030632019042969e-05,[1],72,1844
cold_start,0,15,0.38252949714660645,0.0005249977111816406,[1],72,156023242
cold_start,1,15,0.03556251525878906,0.0010864734649658203,[1],72,28383480
cold_start,2,15,0.039403438568115234,0.0010747909545898438,[1],72,28383480
cold_start,3,15,0.04387378692626953,0.0011601448059082031,[1],72,28383480
cold_start,4,15,0.05041790008544922,0.001102447509765625,[1],72,28383480
cold_start,5,15,0.03510594367980957,0.0010695457458496094,[1],72,28383480
cold_start,6,15,0.03544807434082031,0.0011096000671386719,[1],72,28383480
cold_start,7,15,0.03592991828918457,0.001102447509765625,[1],72,28383480
cold_start,8,15,0.03580164909362793,0.0011756420135498047,[1],72,28383480
cold_start,9,15,0.03561568260192871,0.0011186599731445312,[1],72,28383480
cold_start,10,15,0.03598952293395996,0.0010862350463867188,[1],72,28383536
cold_start,11,15,0.03554248809814453,0.0011372566223144531,[1],72,28383536
cold_start,12,15,0.040586233139038086,0.0011067390441894531,[1],72,28383536
cold_start,13,15,0.002921581268310547,0.00016736984252929688,[1],72,2364960
cold_start,14,15,0.0007388591766357422,6.4849853515625e-05,[1],72,1948
cold_start,0,15,0.3847668170928955,0.0005562305450439453,[1],72,156023242
cold_start,1,15,0.03617548942565918,0.0010828971862792969,[1],72,28383480
cold_start,2,15,0.03636765480041504,0.0010983943939208984,[1],72,28383480
cold_start,3,15,0.035984039306640625,0.0010726451873779297,[1],72,28383480
cold_start,4,15,0.03519010543823242,0.0011034011840820312,[1],72,28383516
cold_start,5,15,0.035006046295166016,0.0010929107666015625,[1],72,28383516
cold_start,6,15,0.03970456123352051,0.0010890960693359375,[1],72,28383516
cold_start,7,15,0.03600764274597168,0.0010852813720703125,[1],72,28383516
cold_start,8,15,0.03596687316894531,0.0010707378387451172,[1],72,28383516
cold_start,9,15,0.05087685585021973,0.0011034011840820312,[1],72,28383516
cold_start,10,15,0.03605318069458008,0.0010867118835449219,[1],72,28383700
cold_start,11,15,0.03583097457885742,0.0010917186737060547,[1],72,28383700
cold_start,12,15,0.035781145095825195,0.0010914802551269531,[1],72,28383700
cold_start,13,15,0.0026776790618896484,0.00013875961303710938,[1],72,2364962
cold_start,14,15,0.0007379055023193359,0.00013875961303710938,[1],72,2014
cold_start,0,15,0.4082789421081543,0.0005817413330078125,[1],72,156023254
cold_start,1,15,0.03644132614135742,0.0011153221130371094,[1],72,28383516
cold_start,2,15,0.035167694091796875,0.0010807514190673828,[1],72,28383516
cold_start,3,15,0.03603959083557129,0.0011548995971679688,[1],72,28383516
cold_start,4,15,0.03583240509033203,0.0010936260223388672,[1],72,28383516
cold_start,5,15,0.035828351974487305,0.0011241436004638672,[1],72,28383516
